constituency_name,log_message,upload_status
খুলনা-৩,1/1 Excels generated -- Duplicates: 0 -- Count Match:True -- Metadata OK: True -- unpaired folders - PDF:1 Vs Excel: 1,Uploaded
নড়াইল-১,1/1 Excels generated -- Duplicates: 0 -- Count Match:True -- Metadata OK: True -- unpaired folders - PDF:1 Vs Excel: 1,Uploaded
